id,domain,last_scraped_at,ats,job_metadata
"274686","pingidentity.com","2024-03-15 15:14:45.97+00","linkedin","{""jobCount"": 57, ""officeLocations"": null, ""officeLocationType"": {""hybrid"": 9, ""remote"": 26, ""on-site"": 22}, ""remoteOfficeLocations"": [""united states"", ""singapore"", ""new jersey, united states"", ""washington, dc"", ""united kingdom"", ""belgium"", ""amsterdam, north holland, netherlands"", ""canada"", ""australia""]}"
"145208","paydock.com","2024-03-07 19:59:59.762+00","linkedin","{""jobCount"": ""27"", ""officeLocations"": null, ""officeLocationType"": {""hybrid"": ""1"", ""remote"": ""26""}, ""remoteOfficeLocations"": [""new zealand"", ""united kingdom"", ""greater funchal area"", ""ireland"", ""london, england, united kingdom"", ""au am leithaberge, lower austria, austria"", ""cracow metropolitan area"", ""portugal"", ""poland""]}"
"333912","sii-germany.de","2024-03-14 12:29:33.833+00","linkedin","{""jobCount"": 94, ""officeLocations"": null, ""officeLocationType"": {""hybrid"": 88, ""remote"": 4, ""on-site"": 2}, ""remoteOfficeLocations"": [""germany""]}"
"293908","qtsdatacenters.com","2024-03-13 23:08:01.237+00","linkedin","{""jobCount"": 193, ""officeLocations"": null, ""officeLocationType"": {""hybrid"": 6, ""remote"": 1, ""on-site"": 186}, ""remoteOfficeLocations"": [""will county, il""]}"
"308572","elegantmicroweb.com","2024-03-06 00:08:02.142+00","linkedin","{""jobCount"": ""3"", ""officeLocationType"": {""hybrid"": ""1"", ""remote"": ""1"", ""on-site"": ""1""}}"
"328652","cloudtech.com","2024-03-06 09:13:06.831+00","linkedin","{""jobCount"": ""4"", ""officeLocationType"": {""remote"": ""2"", ""on-site"": ""2""}}"
"246471","scopea.fr","2024-03-05 18:42:44.917+00","linkedin","{""jobCount"": ""1"", ""officeLocations"": null, ""officeLocationType"": {""remote"": ""1""}, ""remoteOfficeLocations"": [""france""]}"
"158828","bellwood.io","2024-03-06 09:50:00.087+00","linkedin","{""jobCount"": ""4"", ""officeLocations"": null, ""officeLocationType"": {""remote"": ""4""}, ""remoteOfficeLocations"": [""united states"", ""toronto, ontario, canada"", ""atlanta, ga"", ""canada""]}"
"298563","redsky-consulting.com","2024-03-05 23:15:58.312+00","linkedin","{""jobCount"": ""30"", ""officeLocationType"": {""hybrid"": ""14"", ""remote"": ""5"", ""on-site"": ""11""}}"
"120196","redsky-consulting.com","2024-02-24 23:44:03.874+00","linkedin","{""jobCount"": ""26"", ""officeLocationType"": {""hybrid"": ""14"", ""remote"": ""5"", ""on-site"": ""7""}}"
"715246","profitero.com","2024-03-14 01:02:38.828+00","linkedin","{""jobCount"": 11, ""officeLocationType"": {""hybrid"": 9, ""remote"": null, ""on-site"": 2}}"
"245986","lcginc.com","2024-03-05 23:13:16.634+00","linkedin","{""jobCount"": ""10"", ""officeLocationType"": {""hybrid"": ""1"", ""remote"": ""2"", ""on-site"": ""7""}}"
"307397","deltaclasstech.com","2024-03-06 00:13:55.616+00","linkedin","{""jobCount"": ""5"", ""officeLocationType"": {""hybrid"": ""2"", ""remote"": ""1"", ""on-site"": ""2""}}"
"137035","patriotenterprisesllc.com","2024-03-08 10:13:09.986+00","linkedin","{""jobCount"": ""198"", ""officeLocationType"": {""remote"": ""1"", ""on-site"": ""197""}}"
"298018","medecision.com","2024-03-05 23:14:31.599+00","linkedin","{""jobCount"": ""3"", ""officeLocationType"": {""remote"": ""3""}}"
"294783","Numaris.com","2024-03-05 23:08:37.019+00","linkedin","{""jobCount"": ""3"", ""officeLocationType"": {""hybrid"": ""2"", ""remote"": ""1""}}"
"134099","vitals.co","2024-03-05 18:37:00.825+00","linkedin","{""jobCount"": ""2"", ""officeLocations"": null, ""officeLocationType"": {""remote"": ""2""}, ""remoteOfficeLocations"": [""romania""]}"
"176855","smileback.com","2024-02-26 08:28:32.962+00","linkedin","{""jobCount"": ""57"", ""officeLocationType"": {""hybrid"": ""14"", ""remote"": ""6"", ""on-site"": ""37""}}"
"239753","teamvoy.com","2024-03-06 08:38:34.77+00","linkedin","{""jobCount"": ""1"", ""officeLocationType"": {""remote"": ""1""}}"
"240481","neovasolutions.com","2024-03-06 09:06:13.18+00","linkedin","{""jobCount"": ""5"", ""officeLocations"": null, ""officeLocationType"": {""remote"": ""1"", ""on-site"": ""4""}, ""remoteOfficeLocations"": [""pune, maharashtra, india""]}"
"326892","bsmart.global","2024-03-06 09:11:55.891+00","linkedin","{""jobCount"": ""1"", ""officeLocationType"": {""remote"": ""1""}}"
"311633","vocotechnologies.com","2024-03-06 09:09:45.512+00","linkedin","{""jobCount"": ""163"", ""officeLocations"": null, ""officeLocationType"": {""hybrid"": ""22"", ""remote"": ""35"", ""on-site"": ""104""}, ""remoteOfficeLocations"": [""hyderabad, telangana, india"", ""pune, maharashtra, india"", ""bengaluru, karnataka, india"", ""gurgaon, haryana, india""]}"
"154856","spice.xyz","2024-03-05 23:13:33.628+00","linkedin","{""jobCount"": ""1"", ""officeLocationType"": {""hybrid"": ""1""}}"
"244445","ia-scorp.com","2024-03-06 09:07:29.946+00","linkedin","{""jobCount"": ""1"", ""officeLocations"": null, ""officeLocationType"": {""remote"": ""1""}, ""remoteOfficeLocations"": [""santiago metropolitan region, chile""]}"
"305823","delbridge.solutions","2024-03-06 00:27:28.514+00","linkedin","{""jobCount"": ""22"", ""officeLocationType"": {""hybrid"": ""8"", ""remote"": ""10"", ""on-site"": ""4""}}"
"108102","delbridge.solutions","2024-02-26 13:13:34.717+00","linkedin","{""jobCount"": ""22"", ""officeLocationType"": {""hybrid"": ""8"", ""remote"": ""10"", ""on-site"": ""4""}}"
"331193","netvagas.com.br","2024-03-06 09:21:17.24+00","linkedin","{""jobCount"": ""5,000+"", ""officeLocationType"": {""hybrid"": ""1,363"", ""remote"": ""75"", ""on-site"": ""4,074""}}"
"314069","tradecentric.com","2024-03-06 08:37:27.703+00","linkedin","{""jobCount"": ""10"", ""officeLocationType"": {""remote"": ""10""}}"
"295519","ntrinsic.net","2024-03-05 23:09:57.21+00","linkedin","{""jobCount"": ""16"", ""officeLocationType"": {""hybrid"": ""7"", ""remote"": ""4"", ""on-site"": ""5""}}"
"334707","novalink-solutions.com","2024-03-06 10:14:03.178+00","linkedin","{""jobCount"": ""33"", ""officeLocationType"": {""hybrid"": ""10"", ""remote"": ""13"", ""on-site"": ""10""}}"
"294414","innovationalofficesolution.com","2024-03-13 21:43:38.668+00","linkedin","{""jobCount"": 4, ""officeLocations"": null, ""officeLocationType"": {""hybrid"": null, ""remote"": 3, ""on-site"": 1}, ""remoteOfficeLocations"": [""canada"", ""india""]}"
"256629","tutorjob.org","2024-03-05 20:04:57.416+00","linkedin","{""jobCount"": ""50"", ""officeLocations"": null, ""officeLocationType"": {""remote"": ""50""}, ""remoteOfficeLocations"": [""united kingdom"", ""monaco, monaco, monaco"", ""greece"", ""italy"", ""switzerland"", ""luxembourg"", ""sweden"", ""liechtenstein"", ""albania"", ""romania"", ""north macedonia"", ""bulgaria"", ""belgium"", ""gibraltar, gibraltar"", ""spain"", ""denmark"", ""serbia"", ""ireland"", ""germany"", ""croatia"", ""netherlands"", ""isle of man"", ""iceland"", ""malta"", ""norway"", ""lithuania"", ""portugal"", ""moldova"", ""czechia"", ""hungary"", ""andorra"", ""france"", ""estonia"", ""latvia"", ""slovakia"", ""poland"", ""ukraine"", ""montenegro, rio grande do sul, brazil"", ""canada"", ""san marino, ca"", ""guernsey, wy"", ""japan"", ""south korea"", ""united states""]}"
"247940","athennian.com","2024-03-07 19:42:05.9+00","linkedin","{""jobCount"": ""1"", ""officeLocations"": null, ""officeLocationType"": {""remote"": ""1""}, ""remoteOfficeLocations"": [""toronto, ontario, canada""]}"
"240793","activu.com","2024-03-05 00:29:23.529+00","linkedin","{""jobCount"": ""2"", ""officeLocations"": null, ""officeLocationType"": {""hybrid"": ""1"", ""remote"": ""1""}, ""remoteOfficeLocations"": [""saudi arabia""]}"
"291687","borndigital.ai","2024-03-05 22:59:44.05+00","linkedin","{""jobCount"": ""1"", ""officeLocationType"": {""remote"": ""1""}}"
"308763","ignitho.com","2024-03-14 14:41:38.472+00","linkedin","{""jobCount"": 8, ""officeLocationType"": {""hybrid"": null, ""remote"": null, ""on-site"": 8}}"
"112910","ignitho.com","2024-02-26 12:44:07.351+00","linkedin","{""jobCount"": ""8"", ""officeLocationType"": {""on-site"": ""8""}}"
"159830","jointopo.com","2024-03-06 09:10:00.101+00","linkedin","{""jobCount"": ""14"", ""officeLocationType"": {""hybrid"": ""1"", ""remote"": ""2"", ""on-site"": ""11""}}"
"143010","2solar.nl","2024-03-08 15:52:50.019+00","linkedin","{""jobCount"": ""12"", ""officeLocationType"": {""on-site"": ""12""}}"
"135436","luby.com.br","2024-03-06 09:48:10.124+00","linkedin","{""jobCount"": ""19"", ""officeLocationType"": {""hybrid"": ""1"", ""remote"": ""18""}}"
"334341","quadiontech.com","2024-03-06 10:03:18.68+00","linkedin","{""jobCount"": ""1"", ""officeLocationType"": {""remote"": ""1""}}"
"744548","freedomhouse.org","2024-03-08 15:30:44.531+00","linkedin","{""jobCount"": ""9"", ""officeLocations"": null, ""officeLocationType"": {""hybrid"": ""5"", ""remote"": ""3"", ""on-site"": ""1""}, ""remoteOfficeLocations"": [""washington, dc"", ""washington county, ny""]}"
